{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 6.334125141713788e-05, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0001924098961763, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 2.0486277460055164e-13, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 0.9999999999994478, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.027401899169682015, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.058632259465816, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.005309336723023693, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0113604951106208, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.004086995079080641, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0087449583311079, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0002040904550906924, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0004366896491155, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00029039550612211225, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.000621373447812, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 2.2027734096979474e-13, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 0.9999999999995635, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.006450602962955627, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0475492614891138, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0017339603658146905, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0127812876742712, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0013325276465045231, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.009822446198977, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.000462659018441299, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0034104797938743, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 3.66390815988015e-05, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0002700663522914, 'gamma': 0.1451016317364097, 'normalized_gamma': 0.00027}
